model,learning_rate,epochs,hidden_dim,num_layers,dropout,train_loss,val_loss
gcn,0.001,300,32,3,0.2,0.005480533838272095,0.005546699486249485
gcn,0.001,300,32,3,0.5,0.006550628174510267,0.0061966150820692125
gcn,0.001,300,32,4,0.0,0.0041598536384602385,0.005605191194990167
gcn,0.001,300,32,4,0.1,0.00504748471495178,0.005284500319378704
gcn,0.001,300,32,4,0.2,0.0048734328606062464,0.0052737010681401355
gcn,0.001,300,32,4,0.5,0.006676858642862903,0.00583201098904651
gcn,0.001,50,4,2,0.0,0.012309522719846831,0.01335714559006338
gcn,0.001,50,4,2,0.1,0.018062425384091006,0.015863635252127684
gcn,0.001,50,4,2,0.2,0.014170206172598733,0.012711864323080867
gcn,0.001,50,4,2,0.5,0.015721946168276997,0.016176032880662584
gcn,0.001,50,4,3,0.0,0.009698398613060514,0.009996990012314577
gcn,0.001,50,4,3,0.1,0.015677823767893843,0.013874905693843887
gcn,0.001,50,4,3,0.2,0.020249618175956937,0.01639471441764855
gcn,0.001,50,4,3,0.5,0.051260440713829465,0.05016028833805042
gcn,0.001,50,4,4,0.0,0.010787924006581306,0.01321541689898471
gcn,0.001,50,4,4,0.1,0.010624546474880642,0.00953104563873206
gcn,0.001,50,4,4,0.2,0.020493976606263054,0.01657946471806764
gcn,0.001,50,4,4,0.5,0.02133059613406658,0.018203350681607878
gcn,0.001,50,8,2,0.0,0.01094978406197495,0.011765676085496257
gcn,0.001,50,8,2,0.1,0.009680481399926874,0.00872880572660606
gcn,0.001,50,8,2,0.2,0.014498092792928218,0.013852457639488525
gcn,0.001,50,8,2,0.5,0.014968424538771312,0.012696970813173114
gcn,0.001,50,8,3,0.0,0.0069316486517588295,0.007164713542069578
gcn,0.001,50,8,3,0.1,0.010361575076563491,0.008676646501727548
gcn,0.001,50,8,3,0.2,0.013626337713665433,0.011288684714981057
gcn,0.001,50,8,3,0.5,0.020100727842913734,0.014539751198371786
gcn,0.001,50,8,4,0.0,0.0066093298089173105,0.00696015549803386
gcn,0.001,50,8,4,0.1,0.009642116306349636,0.008778244207871677
gcn,0.001,50,8,4,0.2,0.01189921750790543,0.008666487072326512
gcn,0.001,50,8,4,0.5,0.014243551219503084,0.010537059287420037
gcn,0.001,50,16,2,0.0,0.006372599272678295,0.007066637709576384
gcn,0.001,50,16,2,0.1,0.010817294733391868,0.009836238978258227
gcn,0.001,50,16,2,0.2,0.0097833594514264,0.007103006633590536
gcn,0.001,50,16,2,0.5,0.011316211024920145,0.008619195707440786
gcn,0.001,50,16,3,0.0,0.006493997822205225,0.0072994741026180645
gcn,0.001,50,16,3,0.1,0.008020882163610724,0.006891990046235396
gcn,0.001,50,16,3,0.2,0.00975419765131341,0.007779621920804325
gcn,0.001,50,16,3,0.5,0.012062712965740099,0.00928912668338333
gcn,0.001,50,16,4,0.0,0.006423273579114013,0.007109740806264253
gcn,0.001,50,16,4,0.1,0.007376280157930321,0.006897212442544309
gcn,0.001,50,16,4,0.2,0.008334795157942507,0.007095510079638356
gcn,0.001,50,16,4,0.5,0.01712967318793138,0.008303628683674024
gcn,0.001,50,32,2,0.0,0.005972553975880146,0.006650893214633169
gcn,0.001,50,32,2,0.1,0.0067181963680519,0.006356981106175575
gcn,0.001,50,32,2,0.2,0.007261184209750758,0.006812016140553645
gcn,0.001,50,32,2,0.5,0.00938807622426086,0.007024839492553547
gcn,0.001,50,32,3,0.0,0.00618197289812896,0.007318651765578732
gcn,0.001,50,32,3,0.1,0.00669907768153482,0.006771164940375218
gcn,0.001,50,32,3,0.2,0.007651868648827076,0.006750202198570676
gcn,0.001,50,32,3,0.5,0.009587915872948037,0.007480205109449423
gcn,0.001,50,32,4,0.0,0.0055360639674796,0.0066985156415794835
gcn,0.001,50,32,4,0.1,0.006552759630398618,0.007037725224930758
gcn,0.001,50,32,4,0.2,0.00708255207993918,0.007210742921782054
gcn,0.001,50,32,4,0.5,0.00982085969299078,0.007274284903129691
gcn,0.001,100,4,2,0.0,0.006372782794965638,0.0065473116512598795
gcn,0.001,100,4,2,0.1,0.01591239327357875,0.01455745496423939
gcn,0.001,100,4,2,0.2,0.01359027661383152,0.00954138688709547
gcn,0.001,100,4,2,0.5,0.013700168465988503,0.011700901400557684
gcn,0.001,100,4,3,0.0,0.007502215552247233,0.007978430578278517
gcn,0.001,100,4,3,0.1,0.009064501110050414,0.0079778471857874
gcn,0.001,100,4,3,0.2,0.010155854643219046,0.007516434462667676
gcn,0.001,100,4,3,0.5,0.015613823653095299,0.0136966439809598
gcn,0.001,100,4,4,0.0,0.016952502644724317,0.01770466668662716
gcn,0.001,100,4,4,0.1,0.022780625273784,0.022852503521848467
gcn,0.001,100,4,4,0.2,0.009337050860954656,0.007494916692520737
gcn,0.001,100,4,4,0.5,0.014882230386137962,0.012463125158090827
gcn,0.001,100,8,2,0.0,0.006163401265318195,0.006743918981126229
gcn,0.001,100,8,2,0.1,0.008482453785836697,0.0067940522398063806
gcn,0.001,100,8,2,0.2,0.011311641056090593,0.008934741774642796
gcn,0.001,100,8,2,0.5,0.011630099949737389,0.008917717091577893
gcn,0.001,100,8,3,0.0,0.006517766172894173,0.00740438013625655
gcn,0.001,100,8,3,0.1,0.007410807286699613,0.0077567564776916285
gcn,0.001,100,8,3,0.2,0.009226718586352137,0.007421812365369917
gcn,0.001,100,8,3,0.5,0.012674376575483216,0.00743108478688701
gcn,0.001,100,8,4,0.0,0.006565859251552158,0.007026222923279169
gcn,0.001,100,8,4,0.1,0.008849725582533413,0.00701130892268893
gcn,0.001,100,8,4,0.2,0.009593901131302119,0.007325886615365573
gcn,0.001,100,8,4,0.5,0.01080557985438241,0.007939220188937779
gcn,0.001,100,16,2,0.0,0.005193945982803901,0.005576796760736191
gcn,0.001,100,16,2,0.1,0.00825615365886026,0.006452717493812821
gcn,0.001,100,16,2,0.2,0.007353404391970899,0.006625748937897779
gcn,0.001,100,16,2,0.5,0.011581327124602265,0.007392155214125595
gcn,0.001,100,16,3,0.0,0.00569643697494434,0.0066595633586337575
gcn,0.001,100,16,3,0.1,0.0066619347987903485,0.006892884438986524
gcn,0.001,100,16,3,0.2,0.008927231592436632,0.007216424274877053
gcn,0.001,100,16,3,0.5,0.009031712698439756,0.007112501445164754
gcn,0.001,100,16,4,0.0,0.005391863143692414,0.00676968180843931
gcn,0.001,100,16,4,0.1,0.006573897538085779,0.006807964983222292
gcn,0.001,100,16,4,0.2,0.007154895592894819,0.006736058294349178
gcn,0.001,100,16,4,0.5,0.010711976440830363,0.007024164192053495
gcn,0.001,100,32,2,0.0,0.0054342612313727535,0.006011326649778148
gcn,0.001,100,32,2,0.1,0.006329215131700039,0.006328568328899209
gcn,0.001,100,32,2,0.2,0.006811432623200947,0.006280498609396723
gcn,0.001,100,32,2,0.5,0.00900111324671242,0.0069118680933710095
gcn,0.001,100,32,3,0.0,0.005067887891911798,0.006041107906473653
gcn,0.001,100,32,3,0.1,0.006521851403845681,0.006884863586517032
gcn,0.001,100,32,3,0.2,0.00657382116963466,0.006342088303892201
gcn,0.001,100,32,3,0.5,0.008827127309309112,0.006574284329369284
gcn,0.001,100,32,4,0.0,0.005037884258975585,0.005694797113736816
gcn,0.001,100,32,4,0.1,0.005730913341459301,0.005760410263934923
gcn,0.001,100,32,4,0.2,0.006684796429342694,0.006242580372545903
gcn,0.001,100,32,4,0.5,0.007983984808541006,0.006985796382187636
gcn,0.001,200,4,2,0.0,0.005388578938113319,0.005790628240066464
gcn,0.001,200,4,2,0.1,0.01029112461126513,0.0082322935029848
gcn,0.001,200,4,2,0.2,0.008913068690647681,0.007001759024667309
gcn,0.001,200,4,2,0.5,0.014560452351967493,0.013075783322970148
gcn,0.001,200,4,3,0.0,0.006515130193697082,0.007510554864606012
gcn,0.001,200,4,3,0.1,0.009194103349000216,0.006892849897026143
gcn,0.001,200,4,3,0.2,0.012295504307581319,0.008106821518823915
gcn,0.001,200,4,3,0.5,0.012953376128441758,0.009520202613720153
gcn,0.001,200,4,4,0.0,0.006389676965773106,0.007182970114837084
gcn,0.001,200,4,4,0.1,0.008070035816894637,0.007117475031459919
gcn,0.001,200,4,4,0.2,0.010518553687466516,0.0073116245279840845
gcn,0.001,200,4,4,0.5,0.015392097478939427,0.008623236390311928
gcn,0.001,200,8,2,0.0,0.005448984385778507,0.005838017852931987
