model,learning_rate,epochs,hidden_dim,num_layers,dropout,train_loss,val_loss
gat,0.001,50,4,3,0.0,0.00700903246179223,0.007511784990433257
gat,0.001,50,4,3,0.1,0.006889969213969178,0.007038748478204871
gat,0.001,50,4,3,0.2,0.010327138689657052,0.009259927466301065
gat,0.001,50,4,3,0.5,0.012163917658229668,0.009048616386629616
gat,0.001,50,4,4,0.0,0.006476158431420724,0.0067449102279185215
gat,0.001,50,4,4,0.1,0.007276994300385317,0.007195149765097763
gat,0.001,50,4,4,0.2,0.009310663791580333,0.007867468827489876
gat,0.001,50,4,4,0.5,0.013106899832685788,0.010583757774920443
gat,0.001,50,8,2,0.0,0.006034206003985471,0.006122672448500866
gat,0.001,50,8,2,0.1,0.008239515663848982,0.007028365962459415
gat,0.001,50,8,2,0.2,0.009937720476753183,0.01008346137871421
gat,0.001,50,8,2,0.5,0.014220908863676919,0.012794269797471114
gat,0.001,50,8,3,0.0,0.00648179424719678,0.007073553329405446
gat,0.001,50,8,3,0.1,0.006733750096625752,0.006978559125481088
gat,0.001,50,8,3,0.2,0.009356423053476545,0.007902290693193769
gat,0.001,50,8,3,0.5,0.010447496962216165,0.009231948226665686
gat,0.001,50,8,4,0.0,0.006139380060550239,0.0066242004470729475
gat,0.001,50,8,4,0.1,0.007570009471641647,0.007043343544077185
gat,0.001,50,8,4,0.2,0.007705876945207516,0.007386743914057558
gat,0.001,50,8,4,0.5,0.010023683475123512,0.008766241297544507
gat,0.001,50,16,2,0.0,0.006026059197675851,0.0064286893598816345
gat,0.001,50,16,2,0.1,0.008617660423947706,0.006837287327347496
gat,0.001,50,16,2,0.2,0.008515347302373912,0.008451430029437667
gat,0.001,50,16,2,0.5,0.010910847038030625,0.00983490326564962
gat,0.001,50,16,3,0.0,0.005976469080067343,0.006727816327149938
gat,0.001,50,16,3,0.1,0.0070066080014738776,0.006548131261471024
gat,0.001,50,16,3,0.2,0.008139272292868958,0.008533603836853509
gat,0.001,50,16,3,0.5,0.010349225501219432,0.008949483228115817
gat,0.001,50,16,4,0.0,0.006079811188909743,0.006822019992510864
gat,0.001,50,16,4,0.1,0.007020225582851304,0.006776374832406629
gat,0.001,50,16,4,0.2,0.007575025264587667,0.00709999196186486
gat,0.001,50,16,4,0.5,0.009785551660590702,0.008652378553564443
gat,0.001,50,32,2,0.0,0.0058813371281656954,0.006766141305485651
gat,0.001,50,32,2,0.1,0.007349652631415261,0.007416121190069114
gat,0.001,50,32,2,0.2,0.008476993400189611,0.007242876740936511
gat,0.001,50,32,2,0.5,0.011255562015705638,0.011161940852636243
gat,0.001,50,32,3,0.0,0.005891145320816173,0.007241246086317266
gat,0.001,50,32,3,0.1,0.0071142606023285124,0.006649535699371989
gat,0.001,50,32,3,0.2,0.007747359698017439,0.007761618370184409
gat,0.001,50,32,3,0.5,0.010091514802641338,0.008560201496947185
gat,0.001,50,32,4,0.0,0.005592932096785969,0.00617090839308263
gat,0.001,50,32,4,0.1,0.0068373863585293295,0.006413767518928281
gat,0.001,50,32,4,0.2,0.007671867993970712,0.007005741625610895
gat,0.001,50,32,4,0.5,0.009184088350998031,0.00758738970242423
gat,0.001,100,4,2,0.0,0.006036907744904359,0.006437893366627456
gat,0.001,100,4,2,0.1,0.007938978179461426,0.006755284801440919
gat,0.001,100,4,2,0.2,0.009332340107195906,0.00770136093666276
gat,0.001,100,4,2,0.5,0.011409729491505358,0.010828125663093435
gat,0.001,100,4,3,0.0,0.006002115344421731,0.006549868185219521
gat,0.001,100,4,3,0.1,0.007466117654823594,0.0071732889634768425
gat,0.001,100,4,3,0.2,0.007751803017324871,0.007307779440735729
gat,0.001,100,4,3,0.5,0.010502107275856865,0.009014176602543712
gat,0.001,100,4,4,0.0,0.005763642334689696,0.00671026024068413
gat,0.001,100,4,4,0.1,0.007672574453883701,0.006827825881626737
gat,0.001,100,4,4,0.2,0.008313063852902916,0.007265480805320146
gat,0.001,100,4,4,0.5,0.010535124213331276,0.008609488214237548
gat,0.001,100,8,2,0.0,0.0059513496493713725,0.005747418809156102
gat,0.001,100,8,2,0.1,0.007862616785698467,0.006838646901360601
gat,0.001,100,8,2,0.2,0.008414149284362793,0.007497948693826051
gat,0.001,100,8,2,0.5,0.011502760876384046,0.009877644897255622
gat,0.001,100,8,3,0.0,0.005884873101280795,0.006739210765286274
gat,0.001,100,8,3,0.1,0.00701045639709466,0.006910583137565429
gat,0.001,100,8,3,0.2,0.008045067565722598,0.007457179240895862
gat,0.001,100,8,3,0.5,0.010261624797971712,0.008892330860452824
gat,0.001,100,8,4,0.0,0.006143612062765492,0.0071598125665278236
gat,0.001,100,8,4,0.1,0.00705550681385729,0.006530098155015396
gat,0.001,100,8,4,0.2,0.007158442979885472,0.006799774304502492
gat,0.001,100,8,4,0.5,0.009870797126657433,0.008321634668798894
gat,0.001,100,16,2,0.0,0.005725516296095318,0.006365949060356635
gat,0.001,100,16,2,0.1,0.007144894316378567,0.006909769584429992
gat,0.001,100,16,2,0.2,0.008683343314462237,0.0073129956233774825
gat,0.001,100,16,2,0.5,0.012535781951414214,0.010076042911192951
gat,0.001,100,16,3,0.0,0.005573087237361405,0.006402987343147459
gat,0.001,100,16,3,0.1,0.006790581780175368,0.0069562217629182575
gat,0.001,100,16,3,0.2,0.007515355054703024,0.006874729159687676
gat,0.001,100,16,3,0.5,0.010742259253230359,0.00863174143230332
gat,0.001,100,16,4,0.0,0.005450449656281206,0.006713983271941104
gat,0.001,100,16,4,0.1,0.0062498384258813326,0.00690038780299238
gat,0.001,100,16,4,0.2,0.0068987066340115335,0.006622907943102607
gat,0.001,100,16,4,0.5,0.008503907432572708,0.0077794312196314275
gat,0.001,100,32,2,0.0,0.0054711485488547216,0.006423428470143477
gat,0.001,100,32,2,0.1,0.007077821468313535,0.006934475274068963
gat,0.001,100,32,2,0.2,0.007912717718217109,0.007131131898805721
gat,0.001,100,32,2,0.5,0.011161034843987888,0.009147913390674245
gat,0.001,100,32,3,0.0,0.005470001676844226,0.007116405850199325
gat,0.001,100,32,3,0.1,0.0065766172380083135,0.006386027175847376
gat,0.001,100,32,3,0.2,0.00723468576454454,0.008197952394481445
gat,0.001,100,32,3,0.5,0.010271974239084455,0.00923993124925675
gat,0.001,100,32,4,0.0,0.005298343212861154,0.006269195692543162
gat,0.001,100,32,4,0.1,0.005950297518736786,0.0063408707358191705
gat,0.001,100,32,4,0.2,0.006603253311995003,0.007262992406508873
gat,0.001,100,32,4,0.5,0.009158867845932643,0.007544696103977988
gat,0.001,200,4,2,0.0,0.005900735252847274,0.006405466073803212
gat,0.001,200,4,2,0.1,0.006828404197262393,0.00648162012329998
gat,0.001,200,4,2,0.2,0.008899727091193198,0.007481148035215069
gat,0.001,200,4,2,0.5,0.011958432921932802,0.010523131245110506
gat,0.001,200,4,3,0.0,0.005654828974770175,0.0062845957078446315
gat,0.001,200,4,3,0.1,0.007154292789184385,0.006774767610143173
gat,0.001,200,4,3,0.2,0.00821934367219607,0.007594527962905428
gat,0.001,200,4,3,0.5,0.010735685254136722,0.008460567385804496
gat,0.001,200,4,4,0.0,0.005575190815660689,0.006682240203129841
gat,0.001,200,4,4,0.1,0.007312252889904711,0.0066521965527625015
gat,0.001,200,4,4,0.2,0.007006669323891402,0.006408533742630973
gat,0.001,200,4,4,0.5,0.011495986953377724,0.008053859330654434
gat,0.001,200,8,2,0.0,0.005515707548086842,0.006641448842915509
gat,0.001,200,8,2,0.1,0.007166646539957987,0.00682158456673918
gat,0.001,200,8,2,0.2,0.00808765437040064,0.007041236085199754
gat,0.001,200,8,2,0.5,0.01156651663283507,0.009451751621238924
gat,0.001,200,8,3,0.0,0.005496025582154592,0.006571639033373167
gat,0.001,200,8,3,0.1,0.0066888916306197645,0.006432908157323269
gat,0.001,200,8,3,0.2,0.006943952043851217,0.006811582546569994
gat,0.001,200,8,3,0.5,0.0101640278680457,0.00877640211511388
gat,0.001,200,8,4,0.0,0.005135042861931853,0.005773611013284019
gat,0.001,200,8,4,0.1,0.006542721659772926,0.006248152584219202
gat,0.001,200,8,4,0.2,0.006426843214366171,0.006499886193611038
gat,0.001,200,8,4,0.5,0.008276391360494826,0.007775877594910718
gat,0.001,200,16,2,0.0,0.005435514346592956,0.00606229101290987
gat,0.001,200,16,2,0.1,0.006616036769830518,0.00659845936795993
gat,0.001,200,16,2,0.2,0.008277072788526614,0.007907689032997055
gat,0.001,200,16,2,0.5,0.011366456436614195,0.009174930262159386
gat,0.001,200,16,3,0.0,0.005428645252767536,0.006344232317604881
gat,0.001,200,16,3,0.1,0.006604725795073642,0.006265513737006056
gat,0.001,200,16,3,0.2,0.007465180144127872,0.007224654789376128
gat,0.001,200,16,3,0.5,0.008986220384637514,0.00761545848249352
gat,0.001,200,16,4,0.0,0.004809777231680023,0.005045467637471312
gat,0.001,200,16,4,0.1,0.0061064263805747036,0.006206940967417296
gat,0.001,200,16,4,0.2,0.006002584596474966,0.006541436060414641
gat,0.001,200,16,4,0.5,0.008449886739253998,0.007053538102548296
gat,0.001,200,32,2,0.0,0.005464143347409037,0.006067348365754821
gat,0.001,200,32,2,0.1,0.006999888809190856,0.007647205768509413
gat,0.001,200,32,2,0.2,0.007687417117671834,0.006779496254080563
gat,0.001,200,32,2,0.5,0.011634480953216553,0.010062642256990117
gat,0.001,200,32,3,0.0,0.004489029623154137,0.0055963072456926
gat,0.001,200,32,3,0.1,0.005961916781961918,0.006391313476392391
gat,0.001,200,32,3,0.2,0.0074320911947223876,0.007171556904684917
gat,0.001,200,32,3,0.5,0.00934205838582582,0.008329034673876667
gat,0.001,200,32,4,0.0,0.004316473296946949,0.005860083437184671
gat,0.001,200,32,4,0.1,0.005033668430729045,0.0063187888128315
gat,0.001,200,32,4,0.2,0.0057247711862954825,0.00637545012613192
gat,0.001,200,32,4,0.5,0.008626577216717932,0.007074048082520279
gat,0.001,300,4,2,0.0,0.005447883438318968,0.0062192979386430204
gat,0.001,300,4,2,0.1,0.007107358363767465,0.007440925799102627
gat,0.001,300,4,2,0.2,0.008644748727480571,0.007440375774340979
gat,0.001,300,4,2,0.5,0.010983619611296389,0.010019826844932944
gat,0.001,300,4,3,0.0,0.005885613564815786,0.006980936506195778
gat,0.001,300,4,3,0.1,0.006671135851906406,0.006296682705632506
gat,0.001,300,4,3,0.2,0.007462458105550872,0.007353391593271063
gat,0.001,300,4,3,0.5,0.009856621631317668,0.008767070702264346
gat,0.001,300,4,4,0.0,0.0051852192315790385,0.006011006442015176
gat,0.001,300,4,4,0.1,0.006520028991831674,0.006757493339322828
gat,0.001,300,4,4,0.2,0.007128257118165493,0.006912730805001677
gat,0.001,300,4,4,0.5,0.008815611112448904,0.008291161616773946
gat,0.001,300,8,2,0.0,0.005273684859275818,0.006207678116301718
gat,0.001,300,8,2,0.1,0.00715876587977012,0.007198602096112716
gat,0.001,300,8,2,0.2,0.008569475925630994,0.007302896279631122
gat,0.001,300,8,2,0.5,0.01197268163992299,0.009044254197830282
gat,0.001,300,8,3,0.0,0.005090561840269301,0.006082357994875065
gat,0.001,300,8,3,0.1,0.005760124305056201,0.006097542551824753
