iteration_num,timestamp,step_1_generation_step_name,step_1_generation_duration_seconds,step_1_generation_num_samples,step_1_generation_strategy,step_1_generation_metadata_node_types,step_1_generation_metadata_num_graphs_per_iteration,step_2_prediction_step_name,step_2_prediction_duration_seconds,step_2_prediction_num_samples,step_2_prediction_best_predicted,step_2_prediction_worst_predicted,step_2_prediction_mean_predicted,step_2_prediction_std_predicted,step_2_prediction_metadata_inference_time_per_graph,step_3_selection_step_name,step_3_selection_num_graphs_selected,step_3_selection_good_graphs_set_size,step_3_selection_good_graphs_description_node_type_counts_solver,step_3_selection_good_graphs_description_node_type_counts_verifier,step_3_selection_good_graphs_description_node_type_counts_coordinator,step_4_evaluation_step_name,step_4_evaluation_duration_seconds,step_4_evaluation_num_samples,step_4_evaluation_best_evaluated,step_4_evaluation_worst_evaluated,step_4_evaluation_mean_evaluated,step_4_evaluation_std_evaluated,step_4_evaluation_rmse_gnn_vs_llm,step_4_evaluation_metadata_evaluation_time_per_graph,step_4_evaluation_metadata_evaluation_method,step_5_training_update_step_name,step_5_training_update_num_training_samples_added,step_5_training_update_total_training_dataset_size,step_6_retraining_step_name,step_6_retraining_training_samples,step_6_retraining_final_loss
23,2025-11-10 19:25:30.375803,generation,1.0767,25000,random,3,25000,prediction,0.5529,25000,0.5793213193110756,0.14478503607337415,0.28320405301941237,0.06253769296561487,0.0,selection,10,1000,3116,3152,3020,evaluation,0.0001,10,0.4897231779305603,0.12419224263744123,0.32572134256579477,0.10634910311733706,0.6730975116474811,0.0,synthetic_heuristic,training_data_update,10,240,retraining,240,0.00680103368302416
24,2025-11-10 19:25:35.529569,generation,1.078,25000,random,3,25000,prediction,0.5433,25000,0.5663647116539214,0.15074691321386263,0.2842001336626328,0.0631016858375236,0.0,selection,10,1000,3102,3124,2977,evaluation,0.0001,10,0.48592155410718596,0.25371498791294955,0.35732931414963226,0.08213954280562936,0.6378817143215024,0.0,synthetic_heuristic,training_data_update,10,250,retraining,250,0.006849161192027612
25,2025-11-10 19:25:40.811901,generation,1.0945,25000,random,3,25000,prediction,0.5468,25000,0.5541552127566693,0.15391785388687113,0.28550890461367534,0.061107459602520155,0.0,selection,10,1000,3070,3095,2946,evaluation,0.0001,10,0.4665050504432495,0.10267561528460806,0.23581661582701044,0.09670597398525999,0.7600466543919446,0.0,synthetic_heuristic,training_data_update,10,260,retraining,260,0.006854524715281439
26,2025-11-10 19:25:46.086399,generation,1.063,25000,random,3,25000,prediction,0.5514,25000,0.5637851167704986,0.15519715593676386,0.28474072719772686,0.061444681310568745,0.0,selection,10,1000,3050,3063,2920,evaluation,0.0001,10,0.34053843847740234,0.14598639943260863,0.25724656121427464,0.07241383507092956,0.7357983430071829,0.0,synthetic_heuristic,training_data_update,10,270,retraining,270,0.006823378744632098
27,2025-11-10 19:25:51.297044,generation,1.0998,25000,random,3,25000,prediction,0.5479,25000,0.5507046224502505,0.15713434886229188,0.28358976889766296,0.060558094279630915,0.0,selection,10,1000,3016,3038,2900,evaluation,0.0001,10,0.40711832448459084,0.07155545883219604,0.20641636003422126,0.11309309948569352,0.7908993610074837,0.0,synthetic_heuristic,training_data_update,10,280,retraining,280,0.006907131661916228
28,2025-11-10 19:25:56.580950,generation,1.0668,25000,random,3,25000,prediction,0.5547,25000,0.5515405927811571,0.15086493326440154,0.28059640223221977,0.0625766693631881,0.0,selection,10,1000,2990,3002,2872,evaluation,0.0002,10,0.4673050589628903,0.14578307834892845,0.3321083510848253,0.11709816866662895,0.6671559300700455,0.0,synthetic_heuristic,training_data_update,10,290,retraining,290,0.0070142949657178285
29,2025-11-10 19:26:02.035551,generation,1.0831,25000,random,3,25000,prediction,0.5585,25000,0.5505935755779197,0.1408314302566358,0.2824948620282809,0.06283774724884968,0.0,selection,10,1000,2959,2983,2838,evaluation,0.0001,10,0.4554612928522529,0.07415042032882696,0.2660179351669213,0.1084361833239167,0.7307177775532879,0.0,synthetic_heuristic,training_data_update,10,300,retraining,300,0.007072186688892859
30,2025-11-10 19:26:07.364897,generation,1.074,25000,random,3,25000,prediction,0.5489,25000,0.5480101593749009,0.14920246136381068,0.2815560384061307,0.06351200442247451,0.0,selection,10,1000,2927,2947,2795,evaluation,0.0001,10,0.44277359298238067,0.09395290809158723,0.2825983317220797,0.100207553771005,0.7127046633494698,0.0,synthetic_heuristic,training_data_update,10,310,retraining,310,0.007092649433235683
31,2025-11-10 19:26:13.008643,generation,1.3921,25000,random,3,25000,prediction,0.5554,25000,0.5478466853008237,0.14748353374976436,0.28149902238117797,0.06359361066376111,0.0,selection,10,1000,2896,2917,2766,evaluation,0.0001,10,0.46206411828794414,0.11652459209532938,0.28314152718548813,0.11358814002786072,0.713823234821892,0.0,synthetic_heuristic,training_data_update,10,320,retraining,320,0.007097928549146299
32,2025-11-10 19:26:18.981893,generation,1.1753,25000,random,3,25000,prediction,0.5738,25000,0.549048941408023,0.14491793351495771,0.2811672782346246,0.06365452987324809,0.0,selection,10,1000,2863,2878,2729,evaluation,0.0001,10,0.42500887722797,0.06369755435687735,0.2809973086661661,0.11197130420241312,0.7153266639634677,0.0,synthetic_heuristic,training_data_update,10,330,retraining,330,0.007096089860932284
33,2025-11-10 19:26:24.474468,generation,1.2321,25000,random,3,25000,prediction,0.5553,25000,0.5523008515698713,0.14783974954244067,0.2797764309664032,0.06362819269380232,0.0,selection,10,1000,2844,2856,2687,evaluation,0.0001,10,0.5338531585864525,0.05878971974403256,0.2724368984078018,0.12837079081121472,0.726177909715124,0.0,synthetic_heuristic,training_data_update,10,340,retraining,340,0.007232796029332743
34,2025-11-10 19:26:29.804358,generation,1.0692,25000,random,3,25000,prediction,0.5496,25000,0.5274551903240089,0.14173648117312496,0.2791064277622375,0.06200389217696395,0.0,selection,10,1000,2821,2832,2668,evaluation,0.0001,10,0.5200308924238448,0.07663989948133233,0.2725071973311323,0.13624990481001623,0.7272323299672265,0.0,synthetic_heuristic,training_data_update,10,350,retraining,350,0.007368776322503506
35,2025-11-10 19:26:34.975347,generation,1.0799,25000,random,3,25000,prediction,0.5453,25000,0.5252664528828918,0.142576492313843,0.27995160375326716,0.06350877936473241,0.0,selection,10,1000,2790,2803,2629,evaluation,0.0001,10,0.48238190228872335,0.2495104604593315,0.3555166904515566,0.07702632193482745,0.63559475611912,0.0,synthetic_heuristic,training_data_update,10,360,retraining,360,0.007370293478215641
36,2025-11-10 19:26:40.327882,generation,1.15,25000,random,3,25000,prediction,0.5498,25000,0.5311076830451058,0.15200197506179064,0.2808697210180056,0.0632585038413337,0.0,selection,10,1000,2769,2769,2610,evaluation,0.0001,10,0.4655834752430231,0.11993229146806779,0.33626273691351566,0.10967691449179706,0.6589884778478455,0.0,synthetic_heuristic,training_data_update,10,370,retraining,370,0.007323275441874561
37,2025-11-10 19:26:45.819729,generation,1.0719,25000,random,3,25000,prediction,0.6037,25000,0.5370508743800588,0.1459238646611424,0.2816382472381954,0.06338317568478036,0.0,selection,10,1000,2732,2749,2585,evaluation,0.0001,10,0.38670632291405915,0.19671679061422265,0.2709632765871307,0.051668958729760246,0.7165259930922766,0.0,synthetic_heuristic,training_data_update,10,380,retraining,380,0.007219383391905565
38,2025-11-10 19:26:51.155598,generation,1.0794,25000,random,3,25000,prediction,0.5614,25000,0.5330427110672806,0.152292767942316,0.28158321679098075,0.06295823002515773,0.0,selection,10,1000,2708,2732,2553,evaluation,0.0001,10,0.48021319555671216,0.1367558980026939,0.2815827370687589,0.10303742131542631,0.7110816935104277,0.0,synthetic_heuristic,training_data_update,10,390,retraining,390,0.007207818171464976
39,2025-11-10 19:26:56.725307,generation,1.1104,25000,random,3,25000,prediction,0.5588,25000,0.5324978282391427,0.14918412633170303,0.28087252357548204,0.06337156554047993,0.0,selection,10,1000,2686,2704,2528,evaluation,0.0001,10,0.4260542607872736,0.1150049347648314,0.31365833465035814,0.09929634252587308,0.6785105641492766,0.0,synthetic_heuristic,training_data_update,10,400,retraining,400,0.007159104076127253
40,2025-11-10 19:27:02.355460,generation,1.2496,25000,random,3,25000,prediction,0.5473,25000,0.5317061518939479,0.14333724358353594,0.2802578637382072,0.06300247046327223,0.0,selection,10,1000,2665,2670,2495,evaluation,0.0001,10,0.45422911573162617,0.19356557943313535,0.29631013103217263,0.08168310054014986,0.6930909554635424,0.0,synthetic_heuristic,training_data_update,10,410,retraining,410,0.0071377213114234145
41,2025-11-10 19:27:07.698406,generation,1.0827,25000,random,3,25000,prediction,0.7314,25000,0.5333844104580128,0.14981956825517306,0.28091779846786474,0.06270040021125572,0.0,selection,10,1000,2631,2635,2481,evaluation,0.0001,10,0.42448336286450705,0.22006836850726869,0.31624600448048695,0.06190316781045389,0.6708351597162974,0.0,synthetic_heuristic,training_data_update,10,420,retraining,420,0.007137011315835164
42,2025-11-10 19:27:12.722811,generation,1.0653,25000,random,3,25000,prediction,0.5513,25000,0.5307602725926758,0.1576845840188714,0.28072076755813397,0.060895378971407114,0.0,selection,10,1000,2607,2615,2456,evaluation,0.0001,10,0.5192787317061878,0.1695391241809828,0.3585292398160852,0.1004855915373387,0.6334589545027851,0.0,synthetic_heuristic,training_data_update,10,430,retraining,430,0.007242659154066888
43,2025-11-10 19:27:18.072550,generation,1.1747,25000,random,3,25000,prediction,0.5462,25000,0.536387920872619,0.15438653385580173,0.2824877398287245,0.06129297239904839,0.0,selection,10,1000,2583,2584,2438,evaluation,0.0001,10,0.4409769042870796,0.19695044006420856,0.3267684526752322,0.09125229584202697,0.6630151051309243,0.0,synthetic_heuristic,training_data_update,10,440,retraining,440,0.007240657078204602
44,2025-11-10 19:27:23.455176,generation,1.2263,25000,random,3,25000,prediction,0.5441,25000,0.5323441522011587,0.16091473249148433,0.2831471575071061,0.06123090611096325,0.0,selection,10,1000,2556,2545,2421,evaluation,0.0001,10,0.42410799059152504,0.17377465010106075,0.28492312034305484,0.08243307802434414,0.7029495139139907,0.0,synthetic_heuristic,training_data_update,10,450,retraining,450,0.007185044445447849
45,2025-11-10 19:27:28.739362,generation,1.0737,25000,random,3,25000,prediction,0.5508,25000,0.5325575962325251,0.1541179563016213,0.2837931050615923,0.06086322010252533,0.0,selection,10,1000,2537,2497,2397,evaluation,0.0001,10,0.39037681880410674,0.11692097869255386,0.24034818482414502,0.09042683854032282,0.7476150274078784,0.0,synthetic_heuristic,training_data_update,10,460,retraining,460,0.007118934397153508
46,2025-11-10 19:27:34.010830,generation,1.0842,25000,random,3,25000,prediction,0.5445,25000,0.53423740556989,0.15895064788814714,0.28397880486068733,0.06138842408627261,0.0,selection,10,1000,2499,2467,2362,evaluation,0.0001,10,0.3733144672640683,0.19645575675049634,0.29777103750507977,0.050429471113354905,0.686095235048623,0.0,synthetic_heuristic,training_data_update,10,470,retraining,470,0.007104307756895433
47,2025-11-10 19:27:39.300010,generation,1.1509,25000,random,3,25000,prediction,0.5442,25000,0.5161625121789783,0.16240046608582473,0.28372022561127536,0.05885367987273704,0.0,selection,10,1000,2471,2438,2328,evaluation,0.0001,10,0.46616850927116044,0.10527499222610434,0.2795183090737783,0.12982320102681327,0.7139503410009558,0.0,synthetic_heuristic,training_data_update,10,480,retraining,480,0.007186667258168584
48,2025-11-10 19:27:44.527060,generation,1.0821,25000,random,3,25000,prediction,0.5507,25000,0.5166859868189579,0.16215448504696242,0.28416703941423255,0.059327488170728054,0.0,selection,10,1000,2440,2408,2299,evaluation,0.0001,10,0.509832944444576,0.15254273197594737,0.3123069131730413,0.12445861500601349,0.68047768634929,0.0,synthetic_heuristic,training_data_update,10,490,retraining,490,0.0072336116143857515
49,2025-11-10 19:27:50.080165,generation,1.1121,25000,random,3,25000,prediction,0.5436,25000,0.5180979915377517,0.1601329530783801,0.2843431067034435,0.05976467191178441,0.0,selection,10,1000,2421,2389,2271,evaluation,0.0001,10,0.33032575078380266,0.09350978173617626,0.2130661056332607,0.0715171402643112,0.7712426552132674,0.0,synthetic_heuristic,training_data_update,10,500,retraining,500,0.007192846404255972
50,2025-11-10 19:27:55.270703,generation,1.0699,25000,random,3,25000,prediction,0.5482,25000,0.5162019875648557,0.1530933582029995,0.2823337416201839,0.060048041419738234,0.0,selection,10,1000,2393,2369,2238,evaluation,0.0002,10,0.46583301752837014,0.07142318039462353,0.252524048929186,0.10743586151046441,0.7360155486721608,0.0,synthetic_heuristic,training_data_update,10,510,retraining,510,0.007207441941208166
51,2025-11-10 19:28:00.795410,generation,1.079,25000,random,3,25000,prediction,0.7373,25000,0.5182816406070144,0.15546374000487334,0.2823670253593601,0.06034621613053184,0.0,selection,10,1000,2362,2349,2213,evaluation,0.0001,10,0.4362467927111617,0.04945027834110028,0.2761215371252897,0.11805355607007087,0.7140242542460575,0.0,synthetic_heuristic,training_data_update,10,520,retraining,520,0.007246640045821922
52,2025-11-10 19:28:05.844894,generation,1.0733,25000,random,3,25000,prediction,0.55,25000,0.5210633804550349,0.1571839790432629,0.28192275318040944,0.060480612095530156,0.0,selection,10,1000,2345,2320,2171,evaluation,0.0001,10,0.4314850602407555,0.019053548877000403,0.2423962612491437,0.13583291489781268,0.750012466270937,0.0,synthetic_heuristic,training_data_update,10,530,retraining,530,0.007329944639698386
53,2025-11-10 19:28:11.321640,generation,1.1421,25000,random,3,25000,prediction,0.7502,25000,0.5211004778450352,0.15454508091756552,0.28122234560728165,0.06115313338972088,0.0,selection,10,1000,2319,2292,2169,evaluation,0.0001,10,0.5039497256772929,0.13098828740909507,0.3031251226382109,0.11913691788797298,0.6868399008150154,0.0,synthetic_heuristic,training_data_update,10,540,retraining,540,0.007306759019405375
54,2025-11-10 19:28:16.388524,generation,1.079,25000,random,3,25000,prediction,0.5543,25000,0.5271249436096591,0.15575602194833071,0.28169118359342815,0.06189146082490896,0.0,selection,10,1000,2293,2274,2161,evaluation,0.0001,10,0.5395997396516686,0.09689051692463915,0.24769487199810544,0.1276345470966662,0.7425792588001714,0.0,synthetic_heuristic,training_data_update,10,550,retraining,550,0.007352066132602099
55,2025-11-10 19:28:21.891317,generation,1.1431,25000,random,3,25000,prediction,0.7265,25000,0.5218183886369581,0.15558512216762682,0.2811380261502055,0.06289496964493885,0.0,selection,10,1000,2268,2257,2137,evaluation,0.0001,10,0.4240137901055425,0.06558496700969398,0.2798916963931948,0.10252285709296538,0.7063337668071703,0.0,synthetic_heuristic,training_data_update,10,560,retraining,560,0.007341466391478031
56,2025-11-10 19:28:26.913209,generation,1.074,25000,random,3,25000,prediction,0.5477,25000,0.5208852546701593,0.1574593377434978,0.2819203050072784,0.062373582706187404,0.0,selection,10,1000,2246,2235,2104,evaluation,0.0001,10,0.5107412359703347,0.08515186698482058,0.3225037764053476,0.12442356010070281,0.6676267019122444,0.0,synthetic_heuristic,training_data_update,10,570,retraining,570,0.0073240557964830075
